timestamp,contract_code,contract_name,interval_min,close,open,high,low,volume,open_interest,open_interest_change
2026-09-08 09:15:00,A016C000,F 202612,10,1122.6,1117.55,1125.6,1116.2,353.0,43274.0,906.0
2026-09-08 09:25:00,A016C000,F 202612,10,1120.65,1122.25,1125.9,1120.25,470.0,45440.0,2166.0
2026-09-08 09:35:00,A016C000,F 202612,10,1120.5,1120.75,1121.05,1117.2,243.0,46151.0,711.0
2026-09-08 09:45:00,A016C000,F 202612,10,1125.65,1120.9,1126.6,1120.9,246.0,47056.0,905.0
2026-09-08 09:55:00,A016C000,F 202612,10,1122.95,1125.7,1127.9,1122.2,430.0,48132.0,1076.0
2026-09-08 10:05:00,A016C000,F 202612,10,1124.05,1122.8,1124.6,1121.25,273.0,48732.0,600.0
2026-09-08 10:15:00,A016C000,F 202612,10,1122.2,1124.25,1124.25,1121.15,254.0,48784.0,52.0
2026-09-08 10:25:00,A016C000,F 202612,10,1125.1,1122.6,1125.95,1122.6,265.0,48964.0,180.0
2026-09-08 10:35:00,A016C000,F 202612,10,1129.9,1124.85,1130.25,1124.85,289.0,49779.0,815.0
2026-09-08 10:45:00,A016C000,F 202612,10,1131.2,1130.05,1132.9,1129.15,381.0,50015.0,236.0
2026-09-08 10:55:00,A016C000,F 202612,10,1129.95,1131.8,1133.65,1129.95,206.0,52574.0,2559.0
2026-09-08 11:05:00,A016C000,F 202612,10,1131.8,1130.1,1132.3,1128.95,226.0,53943.0,1369.0
2026-09-08 11:15:00,A016C000,F 202612,10,1132.15,1131.9,1132.9,1130.75,299.0,54714.0,771.0
2026-09-08 11:25:00,A016C000,F 202612,10,1133.15,1132.2,1134.25,1131.45,171.0,55558.0,844.0
2026-09-08 11:35:00,A016C000,F 202612,10,1130.1,1133.75,1134.45,1129.55,188.0,56294.0,736.0
2026-09-08 11:45:00,A016C000,F 202612,10,1130.8,1130.45,1132.4,1129.35,186.0,56902.0,608.0
2026-09-08 11:55:00,A016C000,F 202612,10,1132.5,1130.8,1133.5,1130.55,250.0,58076.0,1174.0
2026-09-08 12:05:00,A016C000,F 202612,10,1134.75,1132.6,1135.4,1132.55,173.0,58268.0,192.0
2026-09-08 12:15:00,A016C000,F 202612,10,1136.3,1134.75,1136.95,1134.7,185.0,58786.0,518.0
2026-09-08 12:25:00,A016C000,F 202612,10,1136.5,1136.05,1139.95,1135.4,319.0,59998.0,1212.0
2026-09-08 12:35:00,A016C000,F 202612,10,1137.0,1136.75,1138.05,1135.8,235.0,60674.0,676.0
2026-09-08 12:45:00,A016C000,F 202612,10,1138.1,1137.5,1140.0,1137.1,168.0,61262.0,588.0
